Round,BPP_final,BPP_current,P
1.0,13.0,12.0,0.0037
1.0,13.0,13.0,0.3908
1.0,13.0,14.0,0.0
1.0,13.0,15.0,0.0
1.0,13.0,16.0,0.0
1.0,13.0,17.0,0.0
1.0,14.0,1.0,0.0003
1.0,14.0,2.0,0.0343
1.0,14.0,3.0,0.039
1.0,14.0,4.0,0.0786
1.0,14.0,5.0,0.1628
1.0,14.0,6.0,0.1327
1.0,14.0,7.0,0.0756
1.0,14.0,8.0,0.0261
1.0,14.0,9.0,0.0231
1.0,14.0,10.0,0.0261
1.0,14.0,11.0,0.0535
1.0,14.0,12.0,0.0102
1.0,14.0,13.0,0.0119
1.0,14.0,14.0,0.3259
1.0,14.0,15.0,0.0
1.0,14.0,16.0,0.0
1.0,14.0,17.0,0.0
1.0,15.0,1.0,0.0
1.0,15.0,2.0,0.0
1.0,15.0,3.0,0.0
1.0,15.0,4.0,0.0
1.0,15.0,5.0,0.0
1.0,15.0,6.0,0.0
1.0,15.0,7.0,0.0
1.0,15.0,8.0,0.0
1.0,15.0,9.0,0.0
1.0,15.0,10.0,0.0
1.0,15.0,11.0,0.4175
1.0,15.0,12.0,0.2764
1.0,15.0,13.0,0.0
1.0,15.0,14.0,0.0
1.0,15.0,15.0,0.306
1.0,15.0,16.0,0.0
1.0,15.0,17.0,0.0
1.0,16.0,1.0,0.0
1.0,16.0,2.0,0.0
1.0,16.0,3.0,0.0
1.0,16.0,4.0,0.0
1.0,16.0,5.0,0.0
1.0,16.0,6.0,0.0
1.0,16.0,7.0,0.0
1.0,16.0,8.0,0.0
1.0,16.0,9.0,0.0
1.0,16.0,10.0,0.0
1.0,16.0,11.0,0.0
1.0,16.0,12.0,0.4513
1.0,16.0,13.0,0.0
1.0,16.0,14.0,0.0
1.0,16.0,15.0,0.0974
1.0,16.0,16.0,0.4513
1.0,16.0,17.0,0.0
1.0,17.0,1.0,0.0
1.0,17.0,2.0,0.0256
1.0,17.0,3.0,0.0769
1.0,17.0,4.0,0.0513
1.0,17.0,5.0,0.0513
1.0,17.0,6.0,0.0513
1.0,17.0,7.0,0.0513
1.0,17.0,8.0,0.0256
1.0,17.0,9.0,0.0
1.0,17.0,10.0,0.0256
1.0,17.0,11.0,0.0256
1.0,17.0,12.0,0.0
1.0,17.0,13.0,0.0513
1.0,17.0,14.0,0.3846
1.0,17.0,15.0,0.0
1.0,17.0,16.0,0.0
1.0,17.0,17.0,0.1795
1.0,2.0,1.0,0.0202
1.0,2.0,2.0,0.9798
1.0,2.0,3.0,0.0
1.0,2.0,4.0,0.0
1.0,2.0,5.0,0.0
1.0,2.0,6.0,0.0
1.0,2.0,7.0,0.0
1.0,2.0,8.0,0.0
1.0,2.0,9.0,0.0
1.0,2.0,10.0,0.0
1.0,2.0,11.0,0.0
1.0,2.0,12.0,0.0
1.0,2.0,13.0,0.0
1.0,2.0,14.0,0.0
1.0,2.0,15.0,0.0
1.0,2.0,16.0,0.0
1.0,2.0,17.0,0.0
1.0,3.0,1.0,0.001
1.0,3.0,2.0,0.1489
1.0,3.0,3.0,0.8501
1.0,3.0,4.0,0.0
1.0,3.0,5.0,0.0
1.0,3.0,6.0,0.0
1.0,3.0,7.0,0.0
1.0,3.0,8.0,0.0
1.0,3.0,9.0,0.0
1.0,3.0,10.0,0.0
1.0,3.0,11.0,0.0
1.0,3.0,12.0,0.0
1.0,3.0,13.0,0.0
1.0,3.0,14.0,0.0
1.0,3.0,15.0,0.0
1.0,3.0,16.0,0.0
1.0,3.0,17.0,0.0
1.0,4.0,1.0,0.0008
1.0,4.0,2.0,0.067
1.0,4.0,3.0,0.0819
1.0,4.0,4.0,0.8502
1.0,4.0,5.0,0.0
1.0,4.0,6.0,0.0
1.0,4.0,7.0,0.0
1.0,4.0,8.0,0.0
1.0,4.0,9.0,0.0
1.0,4.0,10.0,0.0
1.0,4.0,11.0,0.0
1.0,4.0,12.0,0.0
1.0,4.0,13.0,0.0
1.0,4.0,14.0,0.0
1.0,4.0,15.0,0.0
1.0,4.0,16.0,0.0
1.0,4.0,17.0,0.0
1.0,5.0,1.0,0.0005
1.0,5.0,2.0,0.0328
1.0,5.0,3.0,0.041
1.0,5.0,4.0,0.0714
1.0,5.0,5.0,0.8543
1.0,5.0,6.0,0.0
1.0,5.0,7.0,0.0
1.0,5.0,8.0,0.0
1.0,5.0,9.0,0.0
1.0,5.0,10.0,0.0
1.0,5.0,11.0,0.0
1.0,5.0,12.0,0.0
1.0,5.0,13.0,0.0
1.0,5.0,14.0,0.0
1.0,5.0,15.0,0.0
1.0,5.0,16.0,0.0
1.0,5.0,17.0,0.0
1.0,6.0,1.0,0.0008
1.0,6.0,2.0,0.0375
1.0,6.0,3.0,0.0471
1.0,6.0,4.0,0.0778
1.0,6.0,5.0,0.1205
1.0,6.0,6.0,0.7162
1.0,6.0,7.0,0.0
1.0,6.0,8.0,0.0
1.0,6.0,9.0,0.0
1.0,6.0,10.0,0.0
1.0,6.0,11.0,0.0
1.0,6.0,12.0,0.0
1.0,6.0,13.0,0.0
1.0,6.0,14.0,0.0
1.0,6.0,15.0,0.0
1.0,6.0,16.0,0.0
1.0,6.0,17.0,0.0
1.0,7.0,1.0,0.0
1.0,7.0,2.0,0.0434
1.0,7.0,3.0,0.047
1.0,7.0,4.0,0.0698
1.0,7.0,5.0,0.1277
1.0,7.0,6.0,0.0
1.0,7.0,7.0,0.7121
1.0,7.0,8.0,0.0
1.0,7.0,9.0,0.0
1.0,7.0,10.0,0.0
1.0,7.0,11.0,0.0
1.0,7.0,12.0,0.0
1.0,7.0,13.0,0.0
1.0,7.0,14.0,0.0
1.0,7.0,15.0,0.0
1.0,7.0,16.0,0.0
1.0,7.0,17.0,0.0
1.0,8.0,1.0,0.0
1.0,8.0,2.0,0.0
1.0,8.0,3.0,0.0923
1.0,8.0,4.0,0.0753
1.0,8.0,5.0,0.1276
1.0,8.0,6.0,0.0
1.0,8.0,7.0,0.0
1.0,8.0,8.0,0.7048
1.0,8.0,9.0,0.0
1.0,8.0,10.0,0.0
1.0,8.0,11.0,0.0
1.0,8.0,12.0,0.0
1.0,8.0,13.0,0.0
1.0,8.0,14.0,0.0
1.0,8.0,15.0,0.0
1.0,8.0,16.0,0.0
1.0,8.0,17.0,0.0
1.0,9.0,1.0,5e-05
1.0,9.0,2.0,5e-05
1.0,9.0,3.0,5e-05
1.0,9.0,4.0,5e-05
1.0,9.0,5.0,5e-05
1.0,9.0,6.0,5e-05
1.0,9.0,7.0,5e-05
1.0,9.0,8.0,5e-05
1.0,9.0,9.0,5e-05
1.0,9.0,10.0,5e-05
1.0,9.0,11.0,5e-05
1.0,9.0,12.0,5e-05
1.0,9.0,13.0,5e-05
1.0,9.0,14.0,5e-05
1.0,9.0,15.0,5e-05
1.0,9.0,16.0,5e-05
1.0,9.0,17.0,5e-05
2.0,1.0,1.0,0.0
2.0,1.0,2.0,0.0
2.0,1.0,3.0,0.0
2.0,1.0,4.0,0.0
2.0,1.0,5.0,0.0
2.0,1.0,6.0,0.0
2.0,1.0,7.0,0.0
2.0,1.0,8.0,0.0
2.0,1.0,9.0,1.0
2.0,1.0,10.0,0.0
2.0,1.0,11.0,0.0
2.0,1.0,12.0,0.0
2.0,1.0,13.0,0.0
2.0,1.0,14.0,0.0
2.0,1.0,15.0,0.0
2.0,1.0,16.0,0.0
2.0,1.0,17.0,0.0
2.0,10.0,1.0,0.0
2.0,10.0,2.0,0.0
2.0,10.0,3.0,0.0
2.0,10.0,4.0,0.0
2.0,10.0,5.0,0.0
2.0,10.0,6.0,0.0
2.0,10.0,7.0,0.0
2.0,10.0,8.0,0.0
2.0,10.0,9.0,0.0
2.0,10.0,10.0,1.0
2.0,10.0,11.0,0.0
2.0,10.0,12.0,0.0
2.0,10.0,13.0,0.0
2.0,10.0,14.0,0.0
2.0,10.0,15.0,0.0
2.0,10.0,16.0,0.0
2.0,10.0,17.0,0.0
2.0,11.0,1.0,0.0
2.0,11.0,2.0,0.0
2.0,11.0,3.0,0.0
2.0,11.0,4.0,0.0
2.0,11.0,5.0,0.0
2.0,11.0,6.0,0.0
2.0,11.0,7.0,0.0
2.0,11.0,8.0,0.0
2.0,11.0,9.0,0.0
2.0,11.0,10.0,0.0
2.0,11.0,11.0,1.0
2.0,11.0,12.0,0.0
2.0,11.0,13.0,0.0
2.0,11.0,14.0,0.0
2.0,11.0,15.0,0.0
2.0,11.0,16.0,0.0
2.0,11.0,17.0,0.0
2.0,12.0,1.0,0.0
2.0,12.0,2.0,0.0
2.0,12.0,3.0,0.0
2.0,12.0,4.0,0.0
2.0,12.0,5.0,0.0
2.0,12.0,6.0,0.0
2.0,12.0,7.0,0.0
2.0,12.0,8.0,0.0
2.0,12.0,9.0,0.0
2.0,12.0,10.0,0.0
2.0,12.0,11.0,0.0
2.0,12.0,12.0,1.0
2.0,12.0,13.0,0.0
2.0,12.0,14.0,0.0
2.0,12.0,15.0,0.0
2.0,12.0,16.0,0.0
2.0,12.0,17.0,0.0
2.0,13.0,1.0,0.0
2.0,13.0,2.0,0.0
2.0,13.0,3.0,0.0
2.0,13.0,4.0,0.0
2.0,13.0,5.0,0.0
2.0,13.0,6.0,0.0
2.0,13.0,7.0,0.0
2.0,13.0,8.0,0.0
2.0,13.0,9.0,0.0
2.0,13.0,10.0,0.0
2.0,13.0,11.0,0.0
2.0,13.0,12.0,0.0
2.0,13.0,13.0,1.0
2.0,13.0,14.0,0.0
2.0,13.0,15.0,0.0
2.0,13.0,16.0,0.0
2.0,13.0,17.0,0.0
2.0,14.0,1.0,0.0
2.0,14.0,2.0,0.0
2.0,14.0,3.0,0.0
2.0,14.0,4.0,0.0
2.0,14.0,5.0,0.0
2.0,14.0,6.0,0.0
2.0,14.0,7.0,0.0
2.0,14.0,8.0,0.0
2.0,14.0,9.0,0.0
2.0,14.0,10.0,0.0
2.0,14.0,11.0,0.0
2.0,14.0,12.0,0.0
2.0,14.0,13.0,0.0
2.0,14.0,14.0,1.0
2.0,14.0,15.0,0.0
2.0,14.0,16.0,0.0
2.0,14.0,17.0,0.0
2.0,15.0,1.0,0.0
2.0,15.0,2.0,0.0
2.0,15.0,3.0,0.0
2.0,15.0,4.0,0.0
2.0,15.0,5.0,0.0
2.0,15.0,6.0,0.0
2.0,15.0,7.0,0.0
2.0,15.0,8.0,0.0
2.0,15.0,9.0,0.0
2.0,15.0,10.0,0.0
2.0,15.0,11.0,0.0
2.0,15.0,12.0,0.0
2.0,15.0,13.0,0.0
2.0,15.0,14.0,0.0
2.0,15.0,15.0,1.0
2.0,15.0,16.0,0.0
2.0,15.0,17.0,0.0
2.0,16.0,1.0,0.0
2.0,16.0,2.0,0.0
2.0,16.0,3.0,0.0
2.0,16.0,4.0,0.0
2.0,16.0,5.0,0.0
2.0,16.0,6.0,0.0
2.0,16.0,7.0,0.0
2.0,16.0,8.0,0.0
2.0,16.0,9.0,0.0
2.0,16.0,10.0,0.0
2.0,16.0,11.0,0.0
2.0,16.0,12.0,0.0
2.0,16.0,13.0,0.0
2.0,16.0,14.0,0.0
2.0,16.0,15.0,0.0
2.0,16.0,16.0,1.0
2.0,16.0,17.0,0.0
2.0,17.0,1.0,0.0
2.0,17.0,2.0,0.0
2.0,17.0,3.0,0.0
2.0,17.0,4.0,0.0
2.0,17.0,5.0,0.0
2.0,17.0,6.0,0.0
2.0,17.0,7.0,0.0
2.0,17.0,8.0,0.0
2.0,17.0,9.0,0.0
2.0,17.0,10.0,0.0
2.0,17.0,11.0,0.0
2.0,17.0,12.0,0.0
2.0,17.0,13.0,0.0
2.0,17.0,14.0,0.0
2.0,17.0,15.0,0.0
2.0,17.0,16.0,0.0
2.0,17.0,17.0,1.0
2.0,2.0,1.0,0.0
2.0,2.0,2.0,1.0
2.0,2.0,3.0,0.0
2.0,2.0,4.0,0.0
2.0,2.0,5.0,0.0
2.0,2.0,6.0,0.0
2.0,2.0,7.0,0.0
2.0,2.0,8.0,0.0
2.0,2.0,9.0,0.0
2.0,2.0,10.0,0.0
2.0,2.0,11.0,0.0
2.0,2.0,12.0,0.0
2.0,2.0,13.0,0.0
2.0,2.0,14.0,0.0
2.0,2.0,15.0,0.0
2.0,2.0,16.0,0.0
2.0,2.0,17.0,0.0
2.0,3.0,1.0,0.0
2.0,3.0,2.0,0.0
2.0,3.0,3.0,1.0
2.0,3.0,4.0,0.0
2.0,3.0,5.0,0.0
2.0,3.0,6.0,0.0
2.0,3.0,7.0,0.0
2.0,3.0,8.0,0.0
2.0,3.0,9.0,0.0
2.0,3.0,10.0,0.0
2.0,3.0,11.0,0.0
2.0,3.0,12.0,0.0
2.0,3.0,13.0,0.0
2.0,3.0,14.0,0.0
2.0,3.0,15.0,0.0
2.0,3.0,16.0,0.0
2.0,3.0,17.0,0.0
2.0,4.0,1.0,0.0
2.0,4.0,2.0,0.0
2.0,4.0,3.0,0.0
2.0,4.0,4.0,1.0
2.0,4.0,5.0,0.0
2.0,4.0,6.0,0.0
2.0,4.0,7.0,0.0
2.0,4.0,8.0,0.0
2.0,4.0,9.0,0.0
2.0,4.0,10.0,0.0
2.0,4.0,11.0,0.0
2.0,4.0,12.0,0.0
2.0,4.0,13.0,0.0
2.0,4.0,14.0,0.0
2.0,4.0,15.0,0.0
2.0,4.0,16.0,0.0
2.0,4.0,17.0,0.0
2.0,5.0,1.0,0.0
2.0,5.0,2.0,0.0
2.0,5.0,3.0,0.0
2.0,5.0,4.0,0.0
2.0,5.0,5.0,1.0
2.0,5.0,6.0,0.0
2.0,5.0,7.0,0.0
2.0,5.0,8.0,0.0
2.0,5.0,9.0,0.0
2.0,5.0,10.0,0.0
2.0,5.0,11.0,0.0
2.0,5.0,12.0,0.0
2.0,5.0,13.0,0.0
2.0,5.0,14.0,0.0
2.0,5.0,15.0,0.0
2.0,5.0,16.0,0.0
2.0,5.0,17.0,0.0
2.0,6.0,1.0,0.0
2.0,6.0,2.0,0.0
2.0,6.0,3.0,0.0
2.0,6.0,4.0,0.0
2.0,6.0,5.0,0.0
2.0,6.0,6.0,1.0
2.0,6.0,7.0,0.0
2.0,6.0,8.0,0.0
2.0,6.0,9.0,0.0
2.0,6.0,10.0,0.0
2.0,6.0,11.0,0.0
2.0,6.0,12.0,0.0
2.0,6.0,13.0,0.0
2.0,6.0,14.0,0.0
2.0,6.0,15.0,0.0
2.0,6.0,16.0,0.0
2.0,6.0,17.0,0.0
2.0,7.0,1.0,0.0
2.0,7.0,2.0,0.0
2.0,7.0,3.0,0.0
2.0,7.0,4.0,0.0
2.0,7.0,5.0,0.0
2.0,7.0,6.0,0.0
2.0,7.0,7.0,1.0
2.0,7.0,8.0,0.0
2.0,7.0,9.0,0.0
2.0,7.0,10.0,0.0
2.0,7.0,11.0,0.0
2.0,7.0,12.0,0.0
2.0,7.0,13.0,0.0
2.0,7.0,14.0,0.0
2.0,7.0,15.0,0.0
2.0,7.0,16.0,0.0
2.0,7.0,17.0,0.0
2.0,8.0,1.0,0.0
2.0,8.0,2.0,0.0
2.0,8.0,3.0,0.0
2.0,8.0,4.0,0.0
2.0,8.0,5.0,0.0
2.0,8.0,6.0,0.0
