Round,OPP_final,OPP_current,P
1.0,1.0,1.0,0.0
1.0,1.0,2.0,0.0
1.0,1.0,3.0,0.0
1.0,1.0,4.0,0.1594
1.0,1.0,5.0,0.1162
1.0,1.0,6.0,0.0
1.0,1.0,7.0,0.0
1.0,1.0,8.0,0.0
1.0,1.0,9.0,0.7244
1.0,1.0,10.0,0.0
1.0,1.0,11.0,0.0
1.0,1.0,12.0,0.0
1.0,1.0,13.0,0.0
1.0,1.0,14.0,0.0
1.0,1.0,15.0,0.0
1.0,1.0,16.0,0.0
1.0,1.0,17.0,0.0
1.0,10.0,1.0,0.0
1.0,10.0,2.0,0.0
1.0,10.0,3.0,0.0
1.0,10.0,4.0,0.0
1.0,10.0,5.0,0.2835
1.0,10.0,6.0,0.0
1.0,10.0,7.0,0.0
1.0,10.0,8.0,0.0
1.0,10.0,9.0,0.0
1.0,10.0,10.0,0.7165
1.0,10.0,11.0,0.0
1.0,10.0,12.0,0.0
1.0,10.0,13.0,0.0
1.0,10.0,14.0,0.0
1.0,10.0,15.0,0.0
1.0,10.0,16.0,0.0
1.0,10.0,17.0,0.0
1.0,11.0,1.0,0.0
1.0,11.0,2.0,0.0
1.0,11.0,3.0,0.0
1.0,11.0,4.0,0.0
1.0,11.0,5.0,0.0404
1.0,11.0,6.0,0.2445
1.0,11.0,7.0,0.1187
1.0,11.0,8.0,0.0405
1.0,11.0,9.0,0.0395
1.0,11.0,10.0,0.0401
1.0,11.0,11.0,0.4763
1.0,11.0,12.0,0.0
1.0,11.0,13.0,0.0
1.0,11.0,14.0,0.0
1.0,11.0,15.0,0.0
1.0,11.0,16.0,0.0
1.0,11.0,17.0,0.0
1.0,12.0,1.0,0.0
1.0,12.0,2.0,0.0
1.0,12.0,3.0,0.0
1.0,12.0,4.0,0.0
1.0,12.0,5.0,0.0336
1.0,12.0,6.0,0.205
1.0,12.0,7.0,0.0939
1.0,12.0,8.0,0.0372
1.0,12.0,9.0,0.0349
1.0,12.0,10.0,0.0265
1.0,12.0,11.0,0.0
1.0,12.0,12.0,0.5689
1.0,12.0,13.0,0.0
1.0,12.0,14.0,0.0
1.0,12.0,15.0,0.0
1.0,12.0,16.0,0.0
1.0,12.0,17.0,0.0
1.0,13.0,1.0,0.003
1.0,13.0,2.0,0.0693
1.0,13.0,3.0,0.0613
1.0,13.0,4.0,0.0954
1.0,13.0,5.0,0.1513
1.0,13.0,6.0,0.1185
1.0,13.0,7.0,0.0566
1.0,13.0,8.0,0.0162
1.0,13.0,9.0,0.0136
1.0,13.0,10.0,0.014
1.0,13.0,11.0,0.0149
1.0,13.0,12.0,0.0043
1.0,13.0,13.0,0.3816
1.0,13.0,14.0,0.0
1.0,13.0,15.0,0.0
1.0,13.0,16.0,0.0
1.0,13.0,17.0,0.0
1.0,14.0,1.0,0.0003
1.0,14.0,2.0,0.0295
1.0,14.0,3.0,0.0416
1.0,14.0,4.0,0.0711
1.0,14.0,5.0,0.1586
1.0,14.0,6.0,0.1455
1.0,14.0,7.0,0.0744
1.0,14.0,8.0,0.0201
1.0,14.0,9.0,0.0241
1.0,14.0,10.0,0.0245
1.0,14.0,11.0,0.0463
1.0,14.0,12.0,0.0101
1.0,14.0,13.0,0.0144
1.0,14.0,14.0,0.3394
1.0,14.0,15.0,0.0
1.0,14.0,16.0,0.0
1.0,14.0,17.0,0.0
1.0,15.0,1.0,0.0
1.0,15.0,2.0,0.0
1.0,15.0,3.0,0.0
1.0,15.0,4.0,0.0
1.0,15.0,5.0,0.0
1.0,15.0,6.0,0.0
1.0,15.0,7.0,0.0
1.0,15.0,8.0,0.0
1.0,15.0,9.0,0.0
1.0,15.0,10.0,0.0
1.0,15.0,11.0,0.4261
1.0,15.0,12.0,0.2756
1.0,15.0,13.0,0.0
1.0,15.0,14.0,0.0
1.0,15.0,15.0,0.2983
1.0,15.0,16.0,0.0
1.0,15.0,17.0,0.0
1.0,16.0,1.0,0.0
1.0,16.0,2.0,0.0
1.0,16.0,3.0,0.0
1.0,16.0,4.0,0.0
1.0,16.0,5.0,0.0
1.0,16.0,6.0,0.0
1.0,16.0,7.0,0.0
1.0,16.0,8.0,0.0
