BPP_final,OPP_final,BPP_win,P
3.0,10.0,1.0,0.0
3.0,11.0,0.0,1.0
3.0,11.0,1.0,0.0
3.0,12.0,0.0,1.0
3.0,12.0,1.0,0.0
3.0,13.0,0.0,1.0
3.0,13.0,1.0,0.0
3.0,14.0,0.0,1.0
3.0,14.0,1.0,0.0
3.0,15.0,0.0,1.0
3.0,15.0,1.0,0.0
3.0,16.0,0.0,1.0
3.0,16.0,1.0,0.0
3.0,17.0,0.0,1.0
3.0,17.0,1.0,0.0
3.0,2.0,0.0,0.0
3.0,2.0,1.0,1.0
3.0,3.0,0.0,0.5415
3.0,3.0,1.0,0.4585
3.0,4.0,0.0,1.0
3.0,4.0,1.0,0.0
3.0,5.0,0.0,1.0
3.0,5.0,1.0,0.0
3.0,6.0,0.0,1.0
3.0,6.0,1.0,0.0
3.0,7.0,0.0,1.0
3.0,7.0,1.0,0.0
3.0,8.0,0.0,1.0
3.0,8.0,1.0,0.0
3.0,9.0,0.0,1.0
3.0,9.0,1.0,0.0
4.0,1.0,0.0,0.0
4.0,1.0,1.0,1.0
4.0,10.0,0.0,1.0
4.0,10.0,1.0,0.0
4.0,11.0,0.0,1.0
4.0,11.0,1.0,0.0
4.0,12.0,0.0,1.0
4.0,12.0,1.0,0.0
4.0,13.0,0.0,1.0
4.0,13.0,1.0,0.0
4.0,14.0,0.0,1.0
4.0,14.0,1.0,0.0
4.0,15.0,0.0,1.0
4.0,15.0,1.0,0.0
4.0,16.0,0.0,1.0
4.0,16.0,1.0,0.0
4.0,17.0,0.0,1.0
4.0,17.0,1.0,0.0
4.0,2.0,0.0,0.0
4.0,2.0,1.0,1.0
4.0,3.0,0.0,0.0
4.0,3.0,1.0,1.0
4.0,4.0,0.0,0.5619
4.0,4.0,1.0,0.4381
4.0,5.0,0.0,1.0
4.0,5.0,1.0,0.0
4.0,6.0,0.0,1.0
4.0,6.0,1.0,0.0
4.0,7.0,0.0,1.0
4.0,7.0,1.0,0.0
4.0,8.0,0.0,1.0
4.0,8.0,1.0,0.0
4.0,9.0,0.0,1.0
4.0,9.0,1.0,0.0
5.0,1.0,0.0,0.0
5.0,1.0,1.0,1.0
5.0,10.0,0.0,1.0
5.0,10.0,1.0,0.0
5.0,11.0,0.0,1.0
5.0,11.0,1.0,0.0
5.0,12.0,0.0,1.0
5.0,12.0,1.0,0.0
5.0,13.0,0.0,1.0
5.0,13.0,1.0,0.0
5.0,14.0,0.0,1.0
5.0,14.0,1.0,0.0
5.0,15.0,0.0,1.0
5.0,15.0,1.0,0.0
5.0,16.0,0.0,1.0
5.0,16.0,1.0,0.0
5.0,17.0,0.0,1.0
5.0,17.0,1.0,0.0
5.0,2.0,0.0,0.0
5.0,2.0,1.0,1.0
5.0,3.0,0.0,0.0
5.0,3.0,1.0,1.0
5.0,4.0,0.0,0.0
5.0,4.0,1.0,1.0
5.0,5.0,0.0,0.5574
5.0,5.0,1.0,0.4426
5.0,6.0,0.0,1.0
5.0,6.0,1.0,0.0
5.0,7.0,0.0,1.0
5.0,7.0,1.0,0.0
5.0,8.0,0.0,1.0
5.0,8.0,1.0,0.0
5.0,9.0,0.0,1.0
5.0,9.0,1.0,0.0
6.0,1.0,0.0,0.0
6.0,1.0,1.0,1.0
6.0,10.0,0.0,1.0
6.0,10.0,1.0,0.0
6.0,11.0,0.0,1.0
6.0,11.0,1.0,0.0
6.0,12.0,0.0,1.0
6.0,12.0,1.0,0.0
6.0,13.0,0.0,1.0
6.0,13.0,1.0,0.0
6.0,14.0,0.0,1.0
6.0,14.0,1.0,0.0
6.0,15.0,0.0,1.0
6.0,15.0,1.0,0.0
6.0,16.0,0.0,1.0
6.0,16.0,1.0,0.0
6.0,17.0,0.0,1.0
6.0,17.0,1.0,0.0
6.0,2.0,0.0,0.0
6.0,2.0,1.0,1.0
6.0,3.0,0.0,0.0
6.0,3.0,1.0,1.0
6.0,4.0,0.0,0.0
6.0,4.0,1.0,1.0
6.0,5.0,0.0,0.0
6.0,5.0,1.0,1.0
6.0,6.0,0.0,0.5415
6.0,6.0,1.0,0.4585
6.0,7.0,0.0,1.0
6.0,7.0,1.0,0.0
6.0,8.0,0.0,1.0
6.0,8.0,1.0,0.0
6.0,9.0,0.0,1.0
6.0,9.0,1.0,0.0
7.0,1.0,0.0,0.0
7.0,1.0,1.0,1.0
7.0,10.0,0.0,1.0
7.0,10.0,1.0,0.0
7.0,11.0,0.0,1.0
7.0,11.0,1.0,0.0
7.0,12.0,0.0,1.0
7.0,12.0,1.0,0.0
7.0,13.0,0.0,1.0
7.0,13.0,1.0,0.0
7.0,14.0,0.0,1.0
7.0,14.0,1.0,0.0
7.0,15.0,0.0,1.0
7.0,15.0,1.0,0.0
7.0,16.0,0.0,1.0
7.0,16.0,1.0,0.0
7.0,17.0,0.0,1.0
7.0,17.0,1.0,0.0
7.0,2.0,0.0,0.0
7.0,2.0,1.0,1.0
7.0,3.0,0.0,0.0
7.0,3.0,1.0,1.0
7.0,4.0,0.0,0.0
7.0,4.0,1.0,1.0
7.0,5.0,0.0,0.0
7.0,5.0,1.0,1.0
7.0,6.0,0.0,0.0
7.0,6.0,1.0,1.0
7.0,7.0,0.0,0.5552
7.0,7.0,1.0,0.4448
7.0,8.0,0.0,1.0
7.0,8.0,1.0,0.0
7.0,9.0,0.0,1.0
7.0,9.0,1.0,0.0
8.0,1.0,0.0,0.0
8.0,1.0,1.0,1.0
8.0,10.0,0.0,1.0
8.0,10.0,1.0,0.0
8.0,11.0,0.0,1.0
8.0,11.0,1.0,0.0
8.0,12.0,0.0,1.0
8.0,12.0,1.0,0.0
8.0,13.0,0.0,1.0
8.0,13.0,1.0,0.0
8.0,14.0,0.0,1.0
8.0,14.0,1.0,0.0
8.0,15.0,0.0,1.0
8.0,15.0,1.0,0.0
8.0,16.0,0.0,1.0
8.0,16.0,1.0,0.0
8.0,17.0,0.0,1.0
8.0,17.0,1.0,0.0
8.0,2.0,0.0,0.0
8.0,2.0,1.0,1.0
8.0,3.0,0.0,0.0
8.0,3.0,1.0,1.0
8.0,4.0,0.0,0.0
8.0,4.0,1.0,1.0
8.0,5.0,0.0,0.0
8.0,5.0,1.0,1.0
8.0,6.0,0.0,0.0
8.0,6.0,1.0,1.0
8.0,7.0,0.0,0.0
8.0,7.0,1.0,1.0
8.0,8.0,0.0,0.5415
8.0,8.0,1.0,0.4585
8.0,9.0,0.0,1.0
8.0,9.0,1.0,0.0
9.0,1.0,0.0,0.0
9.0,1.0,1.0,1.0
9.0,10.0,0.0,1.0
9.0,10.0,1.0,0.0
9.0,11.0,0.0,1.0
9.0,11.0,1.0,0.0
9.0,12.0,0.0,1.0
9.0,12.0,1.0,0.0
9.0,13.0,0.0,1.0
9.0,13.0,1.0,0.0
9.0,14.0,0.0,1.0
9.0,14.0,1.0,0.0
9.0,15.0,0.0,1.0
9.0,15.0,1.0,0.0
9.0,16.0,0.0,1.0
9.0,16.0,1.0,0.0
9.0,17.0,0.0,1.0
9.0,17.0,1.0,0.0
9.0,2.0,0.0,0.0
9.0,2.0,1.0,1.0
9.0,3.0,0.0,0.0
9.0,3.0,1.0,1.0
9.0,4.0,0.0,0.0
9.0,4.0,1.0,1.0
9.0,5.0,0.0,0.0
9.0,5.0,1.0,1.0
9.0,6.0,0.0,0.0
9.0,6.0,1.0,1.0
9.0,7.0,0.0,0.0
9.0,7.0,1.0,1.0
9.0,8.0,0.0,0.0
9.0,8.0,1.0,1.0
9.0,9.0,0.0,0.0
9.0,9.0,1.0,0.0
